t,Dp1,Dp2,Dp3,Dp4,Dp5,Dp6,Dp7,Dp8,Dp9,Dp10,Dp11,Dp12,Dp13,Dp14,Dp15,Dp16,Dp17,Dp18,Dp19,Dp20,Dp21,Dp22,Dp23,Dp24,Dp25,Dp26,Dp27,Dp28,Dp29,Dp30,Dp31,Dp32,Dp33,Dp34,Dp35,Dp36,Dp37,Dp38,Dp39,Dp40,Dp41,Dp42,Dp43,Dp44,Dp45,Dp46,Dp47,Dp48,Dp49,Dp50,Dp51,Dp52,Dp53,Dp54,Dp55,Dp56,Dp57,Dp58,Dp59,Dp60,Dp61,Dp62,Dp63,Dp64,Dp65,Dp66,Dp67,Dp68,Dp69,Dp70,Dp71,Dp72,Dp73,Dp74,Dp75,Dp76,Dp77,Dp78,Dp79,Dp80,Dp81
,44.186418811576566,42.85673589466121,41.56941904938925,40.322973960203804,39.1159678401139,37.94702637704195,36.81483086043271,35.71811547600449,34.65566475741203,33.626311184409126,32.62893291785593,31.66245166261416,30.725830650017443,29.818072732199994,28.938218581116914,28.08534498559654,27.258563240236107,26.457017620385304,25.679883937863885,24.9263681724312,24.195705174368797,23.48715743385509,22.80001391310667,22.13358893753142,21.48722114239444,20.8602724717286,20.252127226441722,19.66219115877198,19.08989061043054,18.534671691944656,17.99599950087446,17.47335737672754,16.96624619053345,16.474183667170507,15.996703738656953,15.533355926731321,15.083704753149185,14.647329176223291,14.223822052222191,13.812789620326807,13.413851009925265,13.02663776909631,12.650793413202303,12.285972992575845,11.931842678343543,11.588079365486584,11.254370292288913,10.930412675373878,10.615913359574277,10.310588481924377,10.014163149102025,9.726371127685995,9.446954546629408,9.175663611382413,8.912256329128166,8.656498244625109,8.408162186175728,8.167028021267367,7.932882421454315,7.705518636073619,7.484736274407292,7.270341095923878,7.0621448082518,6.859964872552954,6.663624315982604,6.472951550938008,6.287780200810906,6.107948931974855,5.933301291750478,5.763685552104317,5.598954558848889,5.438965586122014,5.28358019593472,5.132664102586203,4.986087041754161,4.843722644077221,4.705448313055048,4.571145107099516,4.4406976255776955,4.313993898695389,4.1909252810764706
2019-11-24T00:30:00.0,1786.4143249107415,1789.3163318072288,1801.215965393004,1764.0073496558534,1741.3222083277806,1646.5512663604252,1573.3851132881903,1629.9565222503134,1565.2902274409792,1566.8507159377082,1517.3825908879273,1496.2770003553446,1402.9683532160827,1368.1189466560438,1372.1079081903754,1289.842763749898,1253.7130817905,1197.034302329873,1133.7722699216893,1106.7283458581226,1110.8339456114427,976.0532378081931,1027.2840452930204,928.8584173859227,912.3188745299091,800.1991796125217,839.6035150519956,833.9803224056974,814.7362075470137,742.9323590352099,655.0642828869891,684.6594408605839,618.6043285008463,615.1611664058571,557.8945880765947,548.2213282360597,544.3296672904077,516.7826271929989,543.6918161131752,407.83635175762913,447.65213271982566,438.56532929782844,400.50301148139795,370.15294675640195,404.0165996936423,407.50369587912706,367.1101460696125,359.08059462201254,363.80783552767963,338.9073592152756,300.0437068640454,288.75782370107083,270.5424993579361,380.92674541903637,284.86911761482713,287.32995885459275,223.43890871026895,259.2514464433991,239.6751334936594,243.46570910725623,219.70695500518946,208.8841288500409,190.80402351044245,191.14472225553334,224.1070636755816,144.3679918700524,198.04690426219008,149.312811342971,160.21360772688374,170.3047293878189,132.79626653479932,113.19604012483467,113.98537362271972,111.25060876777896,93.09427661493834,110.89540807241471,78.8181633376822,94.995538655371,54.6487935957942,71.54410857274513,54.45260380368169
2019-11-24T01:00:00.0,1634.7524153110373,1596.223095355321,1616.657201269538,1537.6008970978053,1481.758310483464,1474.4850298065064,1396.8467272637497,1283.49491698946,1275.8425449815218,1277.8452667755853,1243.0261404541075,1201.9138007406077,1149.282558511044,1104.941737688849,1114.0985071659293,1023.622496439564,988.7376619243435,935.013517533089,836.0698281599047,798.5078084553237,801.2806606395253,763.4387872025131,695.0335402421155,652.8131201358581,566.9139364484386,542.1137396910591,482.5136566174769,501.7410071418967,458.68912520193516,425.78102419285085,400.84360276685715,420.6442059667943,421.34423663307973,406.69572499252763,394.4042259963333,377.694709175569,420.70759020964437,349.4161496590433,332.41035566232944,362.65242075115384,395.94419104105384,347.88296532460265,423.0909373869038,316.22135076041826,332.4644045368458,322.51196842266774,345.17200812791566,332.343002289393,353.6392433123818,323.5480402874417,368.6479511741828,347.6649284525979,384.3713257748606,354.20050705623265,312.31630719106994,315.3490788060003,329.18341890237855,325.75499068310063,334.69029933770787,317.146369333171,315.3760332587128,279.3419439536677,221.61114151624966,229.73249650294147,274.19766734211464,222.04201394287333,211.12234008384158,178.3080050273176,186.6716035203409,150.9107749994094,126.44297894380345,85.63081016508544,111.17589015863999,131.23033225408702,78.12839762339199,73.98562434063673,81.29155454473612,97.2537174889112,28.26905691539947,26.4553740740287,59.025505297354584
2019-11-24T01:30:00.0,1581.601642294856,1555.3758649298434,1499.4025052592826,1437.059929492529,1436.7919126148076,1391.6596166827687,1351.831153041101,1305.3606996289664,1210.7453381450573,1187.9178355157394,1160.9136425995305,1053.310426657254,1099.9338144333278,1005.3966581311104,1008.7055254158317,889.2302278645872,876.2062259165384,764.8610745790829,800.4709751374382,784.9501655630952,664.9921145637381,679.014250660947,617.9566406069898,564.3879875522999,564.8462253239429,524.6489013799833,509.20480747022805,489.0454193453914,467.3265936689821,477.6545030925023,419.59741471854375,401.11605113578213,390.7836818659549,382.51027184921395,376.2911235182519,337.7891556406964,331.0654008226976,317.12923147275876,317.65088506482067,303.0567464564265,376.27314119745597,311.86182210565335,306.11397269282185,288.49561419295196,315.8778672713405,293.75297524773754,253.29891091592066,263.79008653305317,252.76280414060915,331.3580394427206,255.54484010120748,267.57226441646685,209.70961831274172,193.22235617571204,238.49224961209563,212.10972525822606,209.41649020863332,197.45193426844287,213.2034309694169,198.78049037210917,188.53185489915347,201.27433709790353,165.95339217470953,185.09890963798773,142.46366558803766,158.80416418505223,163.1968092973504,200.90478797288796,75.155364509364,95.16248609608348,84.62309681960855,74.63587542852278,127.92743330134203,66.22838515108916,87.20975002546518,77.54686975145262,375.42533153001773,190.19461874666035,183.81493319824165,164.15869839523612,164.42269393311517
2019-11-24T02:00:00.0,1560.2423015935333,1563.9172748331546,1451.338769036336,1457.614470163195,1442.977396075422,1407.871923893127,1363.2161904122233,1297.7891306773665,1235.9281406904984,1220.8144047695146,1183.5116422157869,1110.4799222793708,1072.8019358028,994.378292590988,976.149814333989,895.1942721641549,839.4412159970639,850.1480264456998,814.2026953850633,761.0243955690748,744.280915293841,712.827025351007,657.7458082174984,614.9717784197902,550.8169258676129,587.655594516656,515.6426044728978,533.0148743598139,480.16866814229746,452.9515833713829,408.2563569450991,422.95592169688115,379.50366118931765,382.10134365940144,380.42781810665446,338.6471390116005,392.12651345516355,349.6126639920077,359.4952399809279,295.1039408098159,312.1681801630756,284.53411535877353,277.45322867471896,266.3425332396102,287.42413267250413,233.5233040419825,262.01236156972635,261.3500127031601,226.5932656370972,255.22943686996146,252.63950422415934,248.89827449983082,191.09025531885274,205.73470448811827,240.63249399345474,283.1319113269559,237.69020138303068,242.79516407532105,214.23600051903426,209.32334285128528,273.817595957551,250.1303711079265,223.69391601007794,176.5400458891451,201.1237082361665,245.6248250876976,198.462879094563,216.50108352414716,214.76920243428452,222.81422788593818,190.69789393541106,236.91397300255832,163.2229586805393,275.40523273882906,239.6450431178605,256.3184572455571,215.15590598859,270.65223534873604,150.12382289127245,178.0357328124455,293.13711312131954
2019-11-24T02:30:00.0,1397.045628247446,1335.2025915937752,1289.0738534331654,1269.078602975851,1147.7127014100029,1089.9049898699695,1052.196258507335,981.1677383085034,969.5024556763469,903.3703193479547,843.0626778586644,818.1831633573981,756.4560838958578,687.4562618126902,685.5203054782083,685.149588333562,596.4524493138082,609.9610009483015,547.1223099295628,543.2853385745357,531.9400477074071,477.3095616613526,482.88168834177486,490.9391012718762,432.6931021957003,440.24135582295855,379.5189391060168,398.28890207458585,339.44870609207453,356.53354967147385,326.4927975158602,277.3832284359946,317.72987747700745,318.50821752710226,242.10358899995367,288.33300877702715,220.16681301860655,232.6267560591663,213.59101947701868,214.5352050823649,199.63464856637114,205.53487521764728,203.36494296242017,218.4933733026233,212.13698123250077,217.3261692584005,205.52187113479187,190.445893720921,177.45452684909014,219.19475343999233,202.60521935098967,226.7249657151453,225.29181085788207,183.8857211919369,174.0787788937621,181.92467892450304,170.83244489689048,163.56288107928367,162.79228264537846,148.63014022005606,166.5697520264264,141.0857476754477,146.1730693104348,96.95197215820208,115.07437728888227,172.9940639440141,143.52178091647986,128.5059399075098,128.03165693080962,94.50256348254433,63.48878510741791,65.73018631219615,90.92627392703167,87.57950463369878,127.83569558927016,93.54578071356352,111.60098428343386,111.62263450538083,165.16835605863452,100.19319289434085,106.56245798337551
2019-11-24T03:00:00.0,1123.008452744866,1046.31923609715,1011.5701880540717,900.9593608365797,814.6739724413555,815.4012603244757,755.1709319915344,768.4342697555433,720.4422259756027,687.6373238061853,595.8391211059384,542.4310824262234,492.60387950771616,538.7380269035804,465.59148348355984,477.6946575781781,437.50832374073286,397.36188234789506,387.99382467359766,342.5664964775633,294.26605424438037,331.9328564155835,290.2232704439979,268.7759337361254,231.07001118973142,237.70761496527052,211.44950014247732,205.31132731010965,217.33001500336152,193.9970787113637,218.38605150703398,186.92927431550552,168.09000432460084,148.1226997479769,156.7014863267788,151.2251236139116,121.35696311898585,152.18553276318917,149.92926256987226,161.641695948657,135.51934543320874,115.68348313279621,132.0218050196181,140.57053824704775,137.38198488306435,155.82122863552314,126.65756145948463,155.60975808891385,146.75422554260146,166.7932039170239,159.93734204971037,156.11230833239463,109.54985013262956,125.28377104317582,104.81178086107235,113.18608586460064,116.12464779062822,119.6427121245181,109.24382652320344,109.89838888574698,130.19749188722832,97.29387598542695,93.46894657717372,80.56055067554017,90.3589962308485,100.91377557105923,96.73003367893132,81.11686082560266,76.71768049056725,86.85442051449651,43.1790944016199,74.42101442511625,45.34732803041413,117.88299677265204,52.44936172484125,30.415477088482096,58.17893611199054,72.75055147373129,24.322592732881944,35.7469482295272,68.70552373828208
2019-11-24T03:30:00.0,1022.5658585967554,996.585801217677,843.1588410828174,768.1385139180038,715.6765201963761,690.7098688228403,646.2261661758633,601.6104437744531,577.3326795286025,503.63309998353566,482.8807843057036,433.86109874804583,422.2622162992679,405.2997280290521,362.05623320652063,357.28206245937247,314.8042885016805,281.5145220701824,283.679054997336,261.32835630463256,252.7670368873511,243.93396472794575,223.4556819487815,190.67874808679016,212.00119479342197,210.0048679697172,224.22806841973863,198.09977981832864,227.50147457074036,244.4972860176121,199.34055077977393,183.63167471220532,219.71860826681157,219.26035511224543,192.2851952154049,207.8970393714864,193.63740616965393,189.55482086947677,195.7604757827994,193.22741939761642,169.0424566016766,201.30098845266207,179.79320663567336,166.3568677692238,182.95512740955286,124.91027725486322,124.089988885817,106.19274764338732,124.53206448720603,138.00348003427644,139.5862966044229,141.43910714555986,94.81098126715115,97.14059735162446,125.18722651177333,95.95964520475134,107.8796978976973,100.8332259851213,139.5724639181863,64.3165415682151,71.17015927957118,74.47909733483469,107.50985404300214,81.27837922072206,70.73561344224716,59.670369066747014,68.6546632691947,53.44208282810521,50.80110628957428,76.11308225174938,59.924024082601086,61.42762198050997,37.8201837304598,46.99653036024332,40.39938852592185,23.241783433374295,22.970122611568627,45.79302409375546,28.450908446665085,33.19923245989248,39.00620785556852
2019-11-24T04:00:00.0,1020.9234379243558,919.0750974721878,861.0468531693583,817.3348225152631,759.0051096628882,703.106303574413,601.6865400863069,520.6585053429405,481.61118920230285,429.50944090147254,456.1695485050749,425.88109388200024,426.6558412166713,341.1911969403385,319.77488899553464,290.6031614607552,260.4388349024973,245.13141897791354,223.30124282591225,237.3901145468937,177.10925323234122,210.54846552444621,166.7462558041462,153.70073347757048,147.88687170276026,150.4321617439651,126.89485934251658,108.63573323223785,119.9538763809908,113.97539609320597,75.76511237799178,84.80519819822877,66.92484120840822,70.54012604403694,93.34710963172928,68.54914069045026,63.615425044324795,60.98089055798935,59.2752912444189,52.257418321980325,57.536237159719136,60.53804140183031,67.75018251058543,69.45277780176544,38.04242544776399,35.30056986338841,38.766854209712434,59.611319277725784,56.522754518772715,56.76037535325004,47.81703444621452,66.55410819584776,41.494938371881624,55.80003070178236,39.30142892035643,48.094143089618086,60.934196706507905,38.625686719916786,47.363656688442354,40.77301444361407,35.05637908587279,28.17714311969045,38.67009547897671,40.463199129093624,31.6309394034697,36.03844632473116,18.091886786281357,19.514585343244768,36.11906707413122,33.485023305998354,21.689771821517887,17.622204303619263,0.021565537069130686,13.638145378980996,19.75410112588537,15.459241746434936,15.962438021184468,27.818461465054682,0.06163925243345451,41.44181208099123,12.871874874572928
2019-11-24T04:30:00.0,1003.3039151108223,890.1958570638853,842.222252520921,786.1709425508219,660.716498243915,698.1491398941405,614.5062814588085,561.301930254483,516.0528847753191,459.174961423464,467.5907530212295,411.2898880981485,426.23760518504116,391.46629562252093,330.41744934687233,340.5623136323109,310.3369888349356,282.972674905515,246.1557459232055,242.32509641986746,251.67525731262228,190.4922195646407,193.1090043679604,193.66086724493044,186.64491501037156,154.2385464130695,141.035274501742,156.46539798625315,156.06312471063345,127.74662063359432,123.33698561520438,129.5734440145744,105.75320812654178,112.10564813626289,118.56558946939,97.51283259415641,104.60287087752306,115.50049103590541,94.04260772982917,103.83909800090548,67.2000434209748,94.19593373813106,123.41810819167735,81.8015242082418,94.94988621584814,141.1152107936718,147.24810377300253,115.32254812838993,117.99494731888154,117.90473928946379,68.37992539255258,120.84815726962893,127.99328030875606,114.69574410123903,116.08940574373597,114.91180849329766,105.94033862069787,107.28075677246044,142.57894123031596,101.8172649402439,111.77425661661022,131.16932950123012,117.52593682666351,127.39647199727433,125.86970872655218,76.36835312883242,80.44937544503733,73.79012640956293,82.9046891651287,49.63899768548696,46.27120011252622,52.63053152454387,63.548201633823076,33.98944663218017,45.32316460895164,32.88579200081175,48.94255765225718,20.34625720687431,45.21815253848136,47.335042602104174,38.22958335971986
2019-11-24T05:00:00.0,892.9928448356357,811.6416098879505,764.5164293328125,665.8659013607257,618.4223437896721,600.3125158143553,521.1300861994675,495.656794861682,467.10355721579003,432.95092721055084,443.4374986616579,378.91936055073427,356.8718485627597,313.24621541740817,276.23197238599863,263.6738678989535,244.38998172072377,233.18406600376616,195.272576580363,210.3675947474957,193.4518322370319,171.39850060948166,189.7048356339914,182.8917204480719,174.68443530307746,152.78950941664522,162.47044428437732,155.4767371402986,121.74134907541585,135.7512830898263,123.51068057993315,98.9431021330494,134.19050633047246,101.3680076919621,107.16435018116243,120.99049199276155,113.25764215869197,97.45539233639605,108.77117727190836,65.87136106658022,92.47066785407931,102.76000409361355,103.78152990141066,109.5417486821579,103.8261742485429,106.58370914448899,81.39597289099152,78.59807534653996,114.49698410545108,105.78760197263883,134.1004606060388,93.99266551731229,87.04387690220706,84.30324853394859,121.78974867980409,142.82629651495157,85.2108853657133,104.5078252160721,87.79038980259082,145.8390572559987,123.46547259848705,87.88800269100416,77.19758827368918,66.81005011296571,80.31675144061364,87.3429283935629,108.94715020954516,42.36325133139047,91.2691558039701,40.86887528661953,47.39441340681996,53.52588043896718,39.42815818225206,49.317245009185,54.08726224109262,35.588399391096026,52.784319514564835,39.18693264237453,54.68861171413722,93.43875752974199,44.73625450452685
2019-11-24T05:30:00.0,785.5791822952049,716.6311823760449,681.4498495173553,629.5708124916322,565.5606579509086,511.6099834459635,531.8084849450267,468.649391693682,467.3229753209604,414.1854741238867,374.15650440141013,371.6153913297662,368.5323212456546,350.8802976777174,358.4590876008672,316.913082047499,279.1657234202133,302.96642743194315,277.85968441465053,246.84984976439256,229.24149967684866,240.86362023264348,228.36328773084188,197.58966837566211,209.23211974091234,172.88842906951302,169.47548471562013,167.92939060924033,158.8515804260453,153.363797559244,135.7125602299274,164.13786507621273,152.25274189864254,124.66218655597277,123.48987950401093,147.85449501949014,142.971824358255,133.0755309213161,122.67827124508348,115.85046103421217,139.1541199731446,120.61575191237941,124.2486189757095,147.31380412237945,163.1515392241685,152.80392228870596,103.61922058598557,147.45714436847462,89.37616137740487,173.55802118879697,129.6628722806711,133.18565769888036,161.61013289279663,106.58719511819358,113.04638807741371,143.0068958314824,129.68247946401289,126.72219549594587,135.4459127588594,114.67339210564477,140.0130802645152,104.03650882440323,85.83081425442975,92.16535706041002,95.52144013884815,74.81785039612632,117.8459541561873,85.91232259627077,95.31204567711377,80.69736285819461,75.26405179897989,61.275979883626135,63.014641733355774,38.229483441106936,82.02252376952205,33.17446753070063,29.42668953242915,46.233642032378825,39.70721392371437,26.49081659095299,21.075119670213866
2019-11-24T06:00:00.0,704.8053405113651,667.3759971241768,631.7089484727228,622.9748728225027,568.5734929677208,578.0664368412365,555.3786668525031,519.973148097337,530.2763179779324,523.6926976157353,477.0371168733478,501.2984025642893,491.1369440541275,450.35808330302143,472.9211563043938,436.4490957876452,429.1643480068267,378.6288135422999,363.4492259510595,348.7294988935754,357.53179321034656,337.69072896142484,322.20779757384435,267.6339739187342,289.1596853516161,273.210283377121,255.22823258511474,229.9039161297934,214.33004194733851,187.16162161371304,204.72889374941104,226.98525613720156,202.61512941138915,180.06160851851297,196.42449563661503,148.66294885491186,153.25359448738953,174.8223157750973,154.1597192904601,143.7684375961889,175.69031493417782,138.60937784931784,160.7258825693604,161.4559201904136,165.8303829103789,164.58329676586456,151.13192176758704,129.15088174744744,163.69422096911208,166.4538722541963,141.8139137036906,204.7088236116474,136.11103964357537,176.1728105926643,158.02535994651635,163.23757802372933,200.7909905476027,149.8792131489902,112.90637269222702,150.3955877593506,160.25589410531728,135.82876618024991,126.94617951383347,121.46825299037326,99.62984852580368,100.98266089932588,97.15097194413791,61.61081140593181,88.16009319919631,86.89172909502392,89.97313801735983,106.54446656625825,92.44004306131684,51.23107193902449,43.27654129740897,15.333999281510405,41.365148836927325,67.02957086777428,12.302828474643933,42.994232160216555,20.191467785760384
2019-11-24T06:30:00.0,735.8677215182224,741.9161382060557,745.8314401630698,708.1211670420877,629.3848372741738,642.3572887583973,625.0460957889998,611.6647528670283,624.7939521034862,604.8850514120008,563.1301872449505,565.1264118515293,555.049986276994,514.1554362524,524.6982404007139,521.5389868351142,468.2624884437173,472.08975323941405,469.2740947681806,445.40440092621344,428.38612104097393,435.925711560984,405.9250032602272,413.8838751012174,387.6575115640904,397.56859097838355,354.81567938213755,363.13615183678485,375.5494102794737,333.9797129869589,309.3259147183729,341.7367470596088,298.67180440245147,321.2101836847082,331.81843396009015,355.17237551450023,294.6957632872989,317.2308825404871,298.4506112969061,293.84217054548503,286.31282869749816,280.8017614015735,274.379094030849,290.8836487192746,305.6734439954313,306.57981258708605,272.5270382814986,329.6958432340126,256.678205600507,254.43025532281195,226.91712250011818,244.88981544564868,250.05889427191238,245.23691180143797,251.24249585751528,190.68931566863017,203.10135786694002,205.55942848850307,217.5628015392823,194.25851236311158,160.8916061693081,180.01790964059848,173.07886289801615,160.94991024623715,160.53949785334098,148.14388647283494,149.3930171987678,146.25312905484975,136.62372428994968,131.52067007572205,110.24621486569853,124.32058423516688,92.54739840874015,103.93813339145052,87.64178950561912,35.719516545849146,46.937362428344336,72.42288335315467,36.7391674828903,50.207900801253295,27.588254652930516
2019-11-24T07:00:00.0,713.4168633879938,680.8222995186477,677.7519952874434,693.0130748466396,679.9228881178798,698.0123004437414,697.8822565343089,675.9729122976063,703.1921139116031,623.6883608210564,676.3787441228129,665.1445254511588,673.6787235702678,677.0797834651493,628.8021159522941,709.6447902531514,681.428485240467,636.6337045410181,717.4364476136602,682.7938374181649,663.9140043056672,663.0563316810019,716.307724659864,682.9445942522044,633.8942257628272,639.1739164219579,660.3396652967142,621.5813955159637,622.6277169083107,603.3106268993292,625.3554481088526,591.1072678473378,546.1410938663386,555.5042507866166,544.406677439832,561.7589636368139,556.4672909293965,573.2471609253489,516.2499073310886,573.1963579597322,514.1130435514275,489.8470275110554,462.93657722547414,431.0551847129372,427.3837116049397,412.6071681110895,437.21726600522885,437.2315066753372,368.4886317104216,304.9408453540315,319.32614012617233,269.2289782090059,366.00248463868957,316.2699797968667,244.59121122177655,291.8185239830249,269.628095866978,259.0434937919016,284.9124143240052,191.8019297301927,195.92885113871102,207.26056248321214,195.91265416991908,165.68582414752694,195.0318146420883,160.04503867053526,255.37924836246214,171.94202368538538,134.81761095259915,122.25236502017333,137.4907930409685,135.16250727035987,131.41869306297875,138.4240913338643,112.97592946119363,145.60544421945153,101.99136805511687,121.94856008503578,83.64527139637151,130.7305983881897,69.27039373682877
2019-11-24T07:30:00.0,823.3522733865503,783.5814405353353,782.864217245494,823.1402608759863,871.8127205842513,872.7910698137167,832.5960744720369,843.2138426320334,898.3813099657903,946.139525047484,900.1054920160179,902.9621155222944,901.7929526771479,889.7376110742316,947.5372846999937,986.5668965872065,983.8225014401344,999.6387104249188,989.5637814517847,940.0277065094612,975.5905116873967,978.1138425599412,975.514246801749,959.7811394614739,914.273450873379,915.663746758057,917.8008137737927,930.1514706381691,897.2346215028598,860.8768631567723,818.5832962359027,831.1409377668216,824.2290100986286,792.4198720701302,786.0804399462522,754.0741454110644,676.4136955572258,629.233613933196,702.0556004031142,692.9406406219719,589.3587318896125,568.7054976908348,598.7873596572531,512.3967970075803,528.8069890371876,467.30299010754936,437.5892328713622,420.5022641745437,388.84990070056057,372.27928771101915,380.5420600569305,341.60844735126693,323.90784227331613,296.0679376825892,275.9748040225657,283.1502709470632,277.7039411391703,228.7037232113749,245.22840653563344,245.71467866172534,293.12918862463204,263.15751031735834,182.10309508450294,192.28358715938467,179.96723740144768,201.8649059072726,187.29848560916162,170.99563674414298,196.94920704821084,177.97751068734584,146.03875026060078,152.9172831006995,132.08529254924784,110.61390099831233,107.69657327866067,132.1825447013984,124.73608203791134,105.41482776716688,97.69642032766662,71.06389142964565,65.55585913953254
